Group,Qty,Part,Description,Manufacturer,MPN,LCSC,Stock,EUR ea,EUR total,Source,Note
LCSC,6,TVS bidir,"TVS bidirectional SMF12CA, SOD-123FL, 12 V standoff, 200 W",Jingdao Microelectronics,SMF12CA,C353317,184.100,0.022,0.13,https://lcsc.com/product-detail/TVS_Shandong-Jingdao-Microelectronics-SMF12CA_C353317.html,"The land is universal: copper runs from 0.30 to 2.90 mm off centre, so SOD-123, SOD-123F, SOD-123FL, DO-214AC (SMA) and a plain 1206 all sit on it. SMF12CA in SOD-123FL is the cheap default. SMAJ12CA in SMA is the same diode at 400 W instead of 200 W, same 12 V standoff and the same breakdown window, and its feet reach 2.80 mm so it now lands properly rather than hanging off the end. VRWM 12 V, so it does not conduct at the +12 V common mode RS-485 allows, VBR 14.7 V, clamps at 19.9 V with 10 A. Two per port, A and B to GND. A varistor is no substitute, it would not clamp until about 40 V."
ebay,1,74AHCT541 pixel buffer,"Octal buffer 74HCT541, PDIP-20, 300 mil",,,,,approx. 1-2 EUR ea,,https://www.ebay.com/itm/334274626871,"SN74HCT541N, DIP-20, Texas"
ebay,1,74AHCT541 pixel buffer,"Octal buffer 74HCT541, PDIP-20, 300 mil",,,,,approx. 5-8 EUR / 5 pcs,,https://www.ebay.com/itm/392631683671,5 x SN74HCT541N DIP-20
ebay,1,74AHCT541 pixel buffer,"Octal buffer 74HCT541, PDIP-20, 300 mil",,,,,volume price,,https://www.ebay.com/itm/235008609678,100 x SN74HCT541N DIP-20
amazon,1,74AHCT541 pixel buffer,"Octal buffer 74HCT541, PDIP-20, 300 mil",,,,,approx. 2-4 EUR ea,,https://www.amazon.com/INSTRUMENTS-SN74HCT541N-INVERTING-BUFFER-DIP-20/dp/B00LQQBFTC,"TI SN74HCT541N, DIP-20"
distributor,1,74AHCT541 pixel buffer,"Octal buffer 74HCT541, PDIP-20, 300 mil",,,,,stocked,,https://shop.schukat.com/Texas-Instruments/SN74HCT541N/p/37554,Schukat SN74HCT541N
lcsc,6,330R bias+ / 330R bias-,Resistor 330R 1206 5% (fail-safe bias),,,,,0.004 USD,,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount-UniOhm_390R-3900-1_C17655.html,390R exists only in 0805 (C17655) and fits the 1206 land by hand if needed
amazon,6,TVS bidir,"TVS bidirectional SMF12CA, SOD-123FL, 12 V standoff, 200 W",,,,,approx. 8-10 EUR / 50 pcs,,https://www.amazon.com/Pcs-TVS-Diode-Bidirectional-Vrwm/dp/B0CNK4R5SC,"50 x SMF12CA, bidirectional, SOD-123FL"
amazon,6,TVS bidir,"TVS bidirectional SMF12CA, SOD-123FL, 12 V standoff, 200 W",,,,,approx. 15-20 EUR,,https://www.amazon.com/Values-SOD-123-Bi-Directional-Surface-Protection/dp/B0C5SLJQBB,"SMF 200W SOD-123 TVS kit, 20 values x 10 pcs, bidirectional"
lcsc,6,TVS bidir,"TVS bidirectional SMF12CA, SOD-123FL, 12 V standoff, 200 W",,,,,approx. 0.19 EUR ea,,https://www.lcsc.com/product-detail/C1851360.html,"Littelfuse SMF12CA, brand part, 1265 pcs"
amazon,1,12-24V -> 5V buck,"DC-DC step-down to 5 V, adjustable, 1 A or more",,,,,approx. 1.50 EUR ea,,https://www.amazon.com/HiLetgo-MP1584EN-Adjustable-Module-Effect/dp/B00LTQU4EQ,HiLetgo 5x MP1584EN Mini Buck
amazon,1,12-24V -> 5V buck,"DC-DC step-down to 5 V, adjustable, 1 A or more",,,,,approx. 1.50-2 EUR ea,,https://www.amazon.com/Rakstore-MP1584EN-Adjustable-Converter-Arduino/dp/B09J4KH116,Rakstore 4x MP1584 Step-Down
ebay,1,12-24V -> 5V buck,"DC-DC step-down to 5 V, adjustable, 1 A or more",,,,,approx. 1-2 EUR,,https://www.ebay.com/itm/165434363045,MP1584EN DC-DC Step Down 3A
aliexpress,1,12-24V -> 5V buck,"DC-DC step-down to 5 V, adjustable, 1 A or more",,,,,approx. 0.40-0.80 EUR ea,,https://www.aliexpress.us/item/3256807294351325.html,MP1584EN 5/10 pcs adjustable
aliexpress,1,12-24V -> 5V buck,"DC-DC step-down to 5 V, adjustable, 1 A or more",,,,,approx. 0.50 EUR ea,,https://www.aliexpress.us/item/3256803643955109.html,"MP1584 DC-DC 3A Buck, 10 pcs"
amazon,1,ESP32-S3 N16R8,"ESP32-S3-DevKitC-1 N16R8, USB-C, two ports",,,,,approx. 9-12 EUR ea,,https://www.amazon.com/DIYmall-ESP32-S3-DevKitC-1-N8R8-Development-ESP32-S3-WROOM-1-Module/dp/B0BSCXHB5S,DIYmall 2x ESP32-S3-DevKitC-1 N16R8
amazon,1,ESP32-S3 N16R8,"ESP32-S3-DevKitC-1 N16R8, USB-C, two ports",,,,,approx. 10-14 EUR,,https://www.amazon.com/YEJMKJ-ESP32-S3-DevKitC-1-N16R8-Development-ESP32-S3-WROOM-1-Microcontroller/dp/B0CDRM6BGQ,YEJMKJ ESP32-S3-DevKitC-1-N16R8 Dual Type-C
amazon,1,ESP32-S3 N16R8,"ESP32-S3-DevKitC-1 N16R8, USB-C, two ports",,,,,approx. 8-11 EUR ea,,https://www.amazon.com/ESP32-S3-DevKitC-1-N16R8-Development-Integrated-ESP32-S3-WROOM-1-Microcontroller/dp/B0DKF4DSQ4,"3x ESP32-S3-DevKitC-1-N16R8, Dual Type-C"
aliexpress,1,ESP32-S3 N16R8,"ESP32-S3-DevKitC-1 N16R8, USB-C, two ports",,,,,approx. 6-9 EUR,,https://de.aliexpress.com/w/wholesale-ESP32-S3-DevKitC-1-N16R8.html,ESP32-S3-DevKitC-1 N16R8
ebay,1,ESP32-S3 N16R8,"ESP32-S3-DevKitC-1 N16R8, USB-C, two ports",,,,,approx. 8-13 EUR,,https://www.ebay.de/sch/i.html?_nkw=ESP32-S3+DevKitC-1+N16R8,ESP32-S3 DevKitC-1 N16R8
amazon,3,MAX3485 DMXn,"MAX3485 TTL to RS-485 module, 3.3 V, with enable pin",,,,,approx. 2-3 EUR ea,,https://www.amazon.com/MusRock-MAX3485-Transceiver-Unidirectional-Compact/dp/B0FTFXT876,MusRock 5x MAX3485 TTL-RS485
amazon,3,MAX3485 DMXn,"MAX3485 TTL to RS-485 module, 3.3 V, with enable pin",,,,,approx. 3 EUR,,https://www.amazon.com/MAX3485-Module-RS485-Development-Accessories/dp/B0DBGPC9B3,MAX3485 module TTL zu RS485
ebay,3,MAX3485 DMXn,"MAX3485 TTL to RS-485 module, 3.3 V, with enable pin",,,,,approx. 2 EUR ea,,https://www.ebay.com/itm/225626333704,5x MAX3485 TTL-RS485 3.0-3.6V
ebay,3,MAX3485 DMXn,"MAX3485 TTL to RS-485 module, 3.3 V, with enable pin",,,,,approx. 2-3 EUR,,https://www.ebay.com/itm/122285209187,UART TTL zu RS485 Konverter 3.3V/5V
aliexpress,3,MAX3485 DMXn,"MAX3485 TTL to RS-485 module, 3.3 V, with enable pin",,,,,approx. 0.80-1.50 EUR,,https://www.aliexpress.us/item/3256809536271896.html,MAX3485 MAX485 RS485 Transceiver 3.3V/5V
aliexpress,3,MAX3485 DMXn,"MAX3485 TTL to RS-485 module, 3.3 V, with enable pin",,,,,approx. 1-2 EUR,,https://de.aliexpress.com/item/1005006007545162.html,MAX3485/MAX13487 TTL zu RS485
amazon,1,OLED SDA/SCL/VCC/GND,"1.3"" OLED, SH1106, I2C, 4 pins",,,,,approx. 6-9 EUR,,https://www.amazon.de/s?k=1.3+inch+OLED+I2C+SH1106+128x64,"1.3"" OLED I2C SH1106 128x64"
aliexpress,1,OLED SDA/SCL/VCC/GND,"1.3"" OLED, SH1106, I2C, 4 pins",,,,,approx. 2-4 EUR,,https://de.aliexpress.com/w/wholesale-1.3-inch-OLED-SH1106-IIC.html,1.3 inch OLED SH1106 IIC
ebay,1,OLED SDA/SCL/VCC/GND,"1.3"" OLED, SH1106, I2C, 4 pins",,,,,approx. 4-7 EUR,,https://www.ebay.de/sch/i.html?_nkw=1.3+OLED+SH1106+I2C,1.3 inch OLED SH1106 I2C
amazon,1,USR-ES1 W5500,"W5500 Ethernet, SPI, 3.3 V",,,,,approx. 9-12 EUR,,https://www.amazon.de/USR-ES1-W5500-Chip-Ethernet-Converter/dp/B07RGLN436,TECNOIOT USR-ES1 W5500 (amazon.de)
amazon,1,USR-ES1 W5500,"W5500 Ethernet, SPI, 3.3 V",,,,,approx. 8-11 EUR,,https://www.amazon.com/DEVMO-USR-ES1-W5500-Ethernet-Converter/dp/B07T4YHP7Q,DEVMO USR-ES1 W5500
aliexpress,1,USR-ES1 W5500,"W5500 Ethernet, SPI, 3.3 V",,,,,approx. 4-6 EUR,,https://de.aliexpress.com/item/1005006061643080.html,USR-ES1 W5500 SPI zu LAN
aliexpress,1,USR-ES1 W5500,"W5500 Ethernet, SPI, 3.3 V",,,,,approx. 4-7 EUR,,https://de.aliexpress.com/item/1005001430749467.html,"USR-ES1 W5500, 1-5 pcs"
ebay,1,USR-ES1 W5500,"W5500 Ethernet, SPI, 3.3 V",,,,,approx. 6-9 EUR,,https://www.ebay.de/sch/i.html?_nkw=USR-ES1+W5500,USR-ES1 W5500 Ethernet module
